secs,km,power,hr,cad,alt
0,0,131,115,66,16.2
1,0.00464,129,115,68,16.2
2,0.00932,164,116,72,16.2
3,0.01427,137,116,68,16.2
4,0.01941,140,117,66,16.4
5,0.02451,163,118,65,16.4
6,0.0295,190,118,63,16.4
7,0.03445,201,119,63,16.4
8,0.03971,201,120,61,16.4
9,0.0455,200,120,61,16.4
10,0.0511,200,120,62,16.4
11,0.05673,167,121,61,16.4
12,0.0624,167,121,61,16.4
13,0.06826,167,122,60,16.4
14,0.07424,169,123,60,16.4
15,0.08016,169,123,60,16.4
16,0.08616,178,124,60,16.4
17,0.09217,178,125,61,16.4
18,0.09831,185,125,62,16.4
19,0.10468,178,125,62,16.4
20,0.11116,178,126,62,16.4
21,0.11759,122,127,55,16.4
22,0.12426,136,127,58,16.4
23,0.13089,149,127,61,16.6
24,0.13763,164,128,63,16.6
25,0.14442,161,128,66,16.8
26,0.15126,146,129,66,16.8
27,0.15816,160,129,67,16.8
28,0.16493,166,129,67,16.8
29,0.17165,174,129,67,17
30,0.17834,173,130,67,17
31,0.18501,166,129,67,17
32,0.19162,155,130,67,17
33,0.19812,154,130,66,17
34,0.20461,147,130,66,17.2
35,0.21113,147,130,66,17.2
36,0.21764,145,130,65,17.2
37,0.22412,161,130,66,17.2
38,0.23056,158,130,65,17.4
39,0.23695,151,131,65,17.4
40,0.24324,148,131,64,17.4
41,0.24946,176,131,65,17.4
42,0.25577,184,131,67,17.4
43,0.26205,189,131,69,17.6
44,0.26834,174,131,69,17.6
45,0.27465,166,132,70,17.6
46,0.28095,163,132,70,17.6
47,0.2873,171,133,70,17.8
48,0.29378,166,133,72,17.8
49,0.30034,150,133,73,17.8
50,0.30692,134,134,73,18
51,0.31345,150,134,74,18
52,0.31997,135,134,74,18
53,0.32658,135,135,74,18
54,0.33341,144,135,75,18
55,0.34012,153,135,74,18
56,0.34675,155,135,75,18
57,0.35341,164,136,75,18
58,0.36008,184,136,74,17.8
59,0.36648,191,137,73,17.8
60,0.37284,208,137,73,17.8
61,0.37903,204,137,71,17.8
62,0.38503,226,138,69,17.8
63,0.39106,222,138,67,17.8
64,0.3971,216,138,67,17.8
65,0.40285,216,139,64,17.8
66,0.40861,210,139,64,17.8
67,0.41435,205,139,64,18
68,0.42029,205,139,64,18
69,0.4266,199,139,65,18
70,0.43315,205,138,67,18
71,0.44011,200,138,68,18
72,0.44731,220,139,71,18
73,0.45504,0,139,0,18
74,0.46288,0,139,0,18.4
75,0.47035,0,138,0,18.4
76,0.47765,273,138,79,18.6
77,0.48508,268,138,79,18.8
78,0.49306,250,138,79,18.8
79,0.50087,235,138,77,18.8
80,0.50881,211,137,75,18.8
81,0.51671,181,137,74,18.8
82,0.52402,181,137,74,18.8
83,0.53184,183,137,73,18.8
84,0.53951,200,137,74,18.8
85,0.54764,79,137,0,19
86,0.55544,80,137,79,19
87,0.56332,155,137,80,19
88,0.57132,145,138,81,19
89,0.57925,138,138,81,19
90,0.58723,161,138,81,19
91,0.5952,186,138,82,19
92,0.60322,179,138,81,19
93,0.61117,169,138,82,19
94,0.61939,159,138,82,19
95,0.62754,139,139,83,19
96,0.63595,131,139,84,19
97,0.64438,132,139,84,19
98,0.65286,134,139,85,19.2
99,0.66129,130,139,85,19.2
100,0.6698,112,139,85,19.2
101,0.67825,101,138,85,19.2
102,0.68664,95,138,85,19.2
103,0.69507,91,138,85,19.2
104,0.70354,102,138,85,19.2
105,0.71209,117,138,85,19.2
106,0.72059,127,137,87,19.2
107,0.72927,129,137,86,19.2
108,0.7379,144,137,87,19.2
109,0.74663,156,137,88,19.2
110,0.75542,157,137,88,19.2
111,0.76419,156,137,88,19.2
112,0.77295,146,137,89,19.2
113,0.78178,137,137,89,19
114,0.79061,90,137,80,19
115,0.79923,150,136,86,19
116,0.808,179,136,86,19
117,0.81661,138,135,0,19
118,0.82528,138,135,0,18.8
119,0.83387,138,134,85,18.8
120,0.84259,199,134,84,18.8
121,0.85134,0,133,0,18.8
122,0.85991,0,133,0,18.8
123,0.86849,0,133,0,18.8
124,0.87689,0,133,0,18.8
125,0.88525,147,133,86,18.8
126,0.8936,138,133,0,18.8
127,0.90168,138,133,0,18.8
128,0.90956,140,133,82,18.8
129,0.91773,213,133,83,18.6
130,0.92586,0,133,0,18.6
131,0.9338,0,133,0,18.6
132,0.94166,0,132,0,18.6
133,0.94931,0,131,0,18.6
134,0.95685,128,130,80,18.6
135,0.96462,141,129,80,18.6
136,0.97225,94,129,71,18.6
137,0.98004,121,129,76,18.6
138,0.98822,121,128,79,18.6
139,0.99642,119,128,80,18.6
140,1.00466,122,128,82,18.6
141,1.01297,131,127,83,18.4
142,1.02126,127,128,82,18.4
143,1.02959,144,128,85,18.4
144,1.03798,133,128,84,18.4
145,1.04638,125,127,86,18.4
146,1.05488,140,127,87,18.4
147,1.06348,128,127,86,18.4
148,1.07217,155,128,86,18.4
149,1.08045,113,128,86,18.4
150,1.08885,113,128,80,18.4
151,1.09744,112,128,83,18.4
152,1.10595,90,129,85,18.2
153,1.11449,0,128,85,18.2
154,1.12278,0,128,0,18.2
155,1.13109,0,128,0,18.2
156,1.13927,0,127,0,18.2
157,1.14733,0,124,0,18.2
158,1.15524,0,124,0,18.2
159,1.16305,0,122,0,18.2
160,1.17038,0,120,0,18
161,1.17692,0,119,0,18
162,1.18249,0,118,0,17.8
163,1.18755,0,118,0,17.8
164,1.19288,0,117,0,17.8
165,1.19798,0,116,0,17.6
166,1.20257,288,116,57,17.6
167,1.20792,286,116,59,17.6
168,1.21438,0,116,0,17.6
169,1.22121,0,116,0,17.6
170,1.22809,0,115,0,17.6
171,1.23486,0,115,0,17.6
172,1.24039,0,114,0,17.4
173,1.24455,0,114,0,17.4
174,1.24735,0,113,0,17.4
175,1.24927,0,112,0,17.4
176,1.25233,0,112,0,17.4
177,1.25611,336,113,43,17.2
178,1.26094,320,114,43,16.8
179,1.26613,320,115,45,16.8
180,1.27155,298,117,48,16.6
181,1.27706,281,118,50,16.6
182,1.28248,269,119,52,16.6
183,1.28772,255,119,52,16.6
184,1.29286,247,120,51,16.6
185,1.29786,222,120,51,16.6
186,1.30286,0,120,51,16.6
187,1.30739,0,120,0,16.6
188,1.31113,0,119,0,16.6
189,1.31451,0,119,0,16.6
190,1.31777,0,118,0,16.6
191,1.32093,0,118,0,16.6
192,1.32436,0,118,0,16.8
193,1.32767,0,118,0,17
194,1.33084,0,118,0,17.2
195,1.33434,0,118,0,17.4
196,1.33779,0,118,0,17.6
197,1.341,0,118,0,17.6
198,1.34402,0,118,0,17.8
199,1.34697,0,118,0,18
200,1.34981,0,118,0,18
201,1.35222,0,119,0,18
202,1.35414,0,119,0,18
203,1.35521,0,119,0,18.2
204,1.35537,0,120,0,18.2
205,1.35544,0,119,0,18.2
218,1.35544,0,114,0,18.6
219,1.35749,0,115,0,18.6
220,1.35935,0,116,0,18.6
221,1.3614,0,116,0,18.6
222,1.36323,0,117,0,18.6
223,1.36682,323,117,52,18.6
224,1.37159,325,118,57,18.6
225,1.37727,328,118,62,18.6
226,1.38375,312,119,66,18.6
227,1.39071,282,120,69,18.6
228,1.39803,282,121,73,18.6
229,1.40569,263,122,75,18.4
230,1.41352,257,122,77,18.4
231,1.42167,263,123,80,18.4
232,1.43009,289,124,82,18.4
233,1.43885,228,125,72,18.4
234,1.44776,230,125,77,18.4
235,1.45673,220,126,82,18.4
236,1.46581,223,127,87,18.4
237,1.47498,236,128,91,18.4
238,1.4843,199,129,93,18.2
239,1.49368,162,130,94,18.2
240,1.50314,160,132,94,18.2
241,1.51267,150,132,95,18
242,1.52221,160,133,96,18
243,1.53185,178,134,97,18
244,1.54158,197,134,98,18
245,1.55138,211,135,99,18
246,1.56121,222,135,96,18
247,1.571,179,136,92,18
248,1.58073,187,136,91,18
249,1.59037,191,137,89,17.8
250,1.59993,204,137,88,17.8
251,1.60954,225,137,88,17.8
252,1.61915,214,138,87,17.8
253,1.62867,202,138,86,17.8
254,1.63811,221,138,86,17.8
255,1.64751,205,138,86,17.8
256,1.6568,205,138,84,17.8
257,1.66597,196,138,84,17.8
258,1.67502,190,139,83,17.8
259,1.68387,175,139,86,18
260,1.6925,160,139,86,18
261,1.70083,145,139,84,18.2
262,1.7089,155,139,83,18.4
263,1.71675,166,139,82,18.4
264,1.72446,201,140,78,18.6
265,1.732,254,140,78,18.8
266,1.73967,254,140,74,18.8
267,1.74747,267,140,73,19
268,1.75531,269,140,72,19.4
269,1.76319,274,141,72,19.6
270,1.77113,273,141,72,19.8
271,1.77901,257,142,72,20
272,1.78699,262,142,72,20.4
273,1.79496,248,143,72,20.8
274,1.80301,232,143,72,20.8
275,1.8109,229,144,72,21
276,1.81855,229,144,71,21.4
277,1.8263,228,144,71,21.8
278,1.83411,237,145,71,22
279,1.84207,244,145,71,22.4
280,1.84966,243,145,72,22.4
281,1.8575,244,145,72,22.6
282,1.86543,239,145,73,22.8
283,1.87361,244,146,73,23
284,1.88189,239,146,74,23
285,1.88998,238,146,74,23.8
286,1.89841,233,146,75,24
287,1.90695,242,147,76,24.2
288,1.91551,236,147,77,24.2
289,1.92417,184,148,77,24.2
290,1.93289,184,148,67,24.2
291,1.94157,146,148,78,24.2
292,1.9502,127,148,81,24.2
293,1.9588,118,148,85,24.4
294,1.96746,115,148,86,24.4
295,1.97611,111,148,86,24.4
296,1.98483,121,147,87,24.6
297,1.99362,148,147,89,24.6
298,2.00257,143,146,89,24.6
299,2.01166,171,146,91,24.6
300,2.02089,170,146,92,24.6
301,2.0302,161,146,94,24.6
302,2.03953,160,146,95,24.6
303,2.04895,169,145,95,24.6
304,2.05845,143,146,94,24.6
305,2.06811,116,145,92,24.6
306,2.07782,119,145,90,24.6
307,2.08769,109,145,90,24.6
308,2.09765,109,145,90,24.8
309,2.10768,108,145,91,24.8
310,2.11777,99,145,91,24.6
311,2.12795,117,144,92,24.6
312,2.13823,91,144,89,24.6
313,2.14856,91,144,91,24.4
314,2.1589,95,143,92,24.4
315,2.16936,95,143,93,24.2
316,2.17991,96,142,95,24
317,2.19042,105,142,96,23.6
318,2.20103,104,141,96,23.4
319,2.21172,91,141,91,23.4
320,2.22251,91,140,90,23
321,2.23341,86,140,89,22.8
322,2.24438,87,139,89,22.6
323,2.25545,90,139,88,22.2
324,2.26664,107,138,89,22
325,2.27792,101,138,89,21.8
326,2.28928,68,138,73,21.6
327,2.30068,83,137,80,21.2
328,2.31214,98,137,87,20.8
329,2.32371,103,136,89,20.6
330,2.33537,107,136,91,20.4
331,2.34704,104,135,93,20.2
332,2.35862,93,135,92,20
333,2.37019,92,134,93,19.6
334,2.38176,93,133,93,19.2
335,2.3933,104,132,93,19
336,2.4048,103,132,92,18.4
337,2.4162,120,130,92,18
338,2.42758,134,130,92,17.6
339,2.43886,141,129,91,17.4
340,2.45004,152,129,91,17.2
341,2.46119,168,129,90,16.8
342,2.47231,176,128,90,16
343,2.48344,191,128,90,15.8
344,2.49461,179,127,90,15.6
345,2.50567,179,126,90,15.4
346,2.51663,173,126,89,15.4
347,2.52752,175,126,88,15.4
348,2.53835,189,126,87,15.2
349,2.54915,179,126,87,15.2
350,2.55991,184,126,86,15.2
351,2.57065,185,127,87,15.2
352,2.58141,182,127,86,15.2
353,2.59216,194,128,87,15.2
354,2.6029,179,128,87,15.2
355,2.61364,183,129,86,15.2
356,2.62437,180,129,86,15.2
357,2.6351,182,129,86,15
358,2.6458,176,129,86,15
359,2.65648,165,129,86,15
360,2.66714,174,129,86,15
361,2.6778,178,129,85,15
362,2.68849,186,128,86,15
363,2.69921,182,129,86,14.8
364,2.70991,181,129,85,14.8
365,2.72061,185,129,86,14.8
366,2.73129,171,130,86,14.6
367,2.74188,167,130,85,14.6
368,2.7524,181,130,85,14.4
369,2.76291,182,131,84,14.4
370,2.7734,181,131,85,14.4
371,2.78391,178,131,85,14.4
372,2.79444,189,131,85,14.4
373,2.80493,169,131,85,14.4
374,2.81538,171,131,84,14.4
375,2.82582,168,132,84,14.4
376,2.8363,181,132,85,14.4
377,2.84679,188,132,84,14.4
378,2.85727,191,132,84,14.2
379,2.86769,185,132,84,14.2
380,2.87802,176,132,87,14.2
381,2.88833,162,132,90,14.2
382,2.89861,179,133,92,14.2
383,2.90888,197,133,92,14.2
384,2.91909,180,133,93,14.2
385,2.92929,178,133,92,14.2
386,2.93947,186,134,93,14.2
387,2.94965,194,134,92,14.2
388,2.95975,192,134,92,14.2
389,2.96984,188,134,92,14.2
390,2.97996,192,134,92,14.2
391,2.9901,186,134,93,14.2
392,3.00026,179,134,93,14.2
393,3.01044,179,134,93,14.2
394,3.02061,185,134,93,14.4
395,3.03083,183,134,92,14.4
396,3.0411,191,134,93,14.4
397,3.05141,179,134,94,14.4
398,3.06178,193,134,95,14.6
399,3.07224,194,134,95,14.6
400,3.08282,178,135,96,14.6
401,3.09343,165,135,97,14.6
402,3.10413,133,136,91,14.6
403,3.11484,157,136,88,14.6
404,3.12551,176,137,87,14.6
405,3.13621,161,137,87,14.6
406,3.14693,166,138,86,14.6
407,3.15767,173,138,87,14.6
408,3.16837,163,138,86,14.4
409,3.17908,176,139,86,14.4
410,3.18979,176,139,86,14.4
411,3.2005,170,140,86,14.4
412,3.21117,175,140,86,14.4
413,3.22186,201,140,86,14.2
414,3.23253,182,141,86,14.2
415,3.24316,159,141,86,14.2
416,3.25372,166,141,86,14.2
417,3.26425,168,141,85,14.2
418,3.27476,188,141,85,14
419,3.28521,196,141,84,14
420,3.29553,198,141,84,14
421,3.30585,196,141,84,14
422,3.3162,197,141,84,14
423,3.32657,194,141,83,14
424,3.3369,180,141,84,14
425,3.34722,165,140,83,14
426,3.3575,176,140,83,14
427,3.3678,176,140,83,14
428,3.37811,184,139,84,14
429,3.38839,190,139,84,14
430,3.39867,194,138,83,14
431,3.40894,199,138,83,14
432,3.41926,177,137,83,14
433,3.42955,179,138,83,14
434,3.43982,172,138,83,14
435,3.45,184,137,83,14
436,3.46017,183,137,83,14
437,3.47033,191,137,82,14
438,3.4805,198,137,82,14
439,3.49063,194,136,82,14
440,3.50077,203,136,82,14
441,3.51094,195,136,81,14
442,3.5211,200,135,82,14
